poi_osm_id,poi_name,poi_amenity,poi_street,poi_housenumber,poi_capacity,poi_description,poi_level,poi_opening_hours,poi_parking,st_astext
4625131490,Tenmatsu Grab and Co.,fast_food,,,,,,,,POINT(-122.404020382236 37.791321659805)
4625129271,Darn Good Food,restaurant,,,,,,,,POINT(-122.403974837651 37.7912866621354)
4129615925,Super Duper Burgers,fast_food,Kearny Street,,,,,Mo-Fr 7:00-22:00; Sa 10:00-19:00,,POINT(-122.404057302994 37.7914507180054)
4343748161,Ramen Underground,restaurant,Kearny Street,,,,,,,POINT(-122.404058740299 37.7915498896376)
2336730548,DGF,restaurant,Belden Place,,,,,,,POINT(-122.403712888914 37.7912640165756)
1295101210,Sauce,restaurant,Belden Place,,,,,,,POINT(-122.403761936929 37.7914250199658)
2336730289,Brindisi,restaurant,Belden Place,,,,,,,POINT(-122.403789874534 37.7915660041279)
335444374,Coffee Bean & Tea Leaf,cafe,,,,,,,,POINT(-122.402491269959 37.7908808157375)
4636074692,Workshop cafe,cafe,Montgomery Street,,,,,,,POINT(-122.402189885182 37.7906084991507)
392204549,,bicycle_parking,,,16,,,,,POINT(-122.401496475614 37.7902558207032)
1205027717,US Bank,bank,,,,,,,,POINT(-122.40261119505 37.7911277881245)
4632000734,Kisu,restaurant,,,,,,,,POINT(-122.404003044751 37.7916287583209)
2248286001,The Occidental Cigar Club,bar,Pine Street,,,,,,,POINT(-122.403711002452 37.7915976651867)
4632000745,,parking,,,,,,,,POINT(-122.403187374473 37.7919517570009)
669137650,,post_box,,,,,,,,POINT(-122.402685306061 37.7919423865096)
1639950739,Walgreens,pharmacy,,,,,,,,POINT(-122.402456325495 37.7920547613379)
4632000744,,post_office,,,,,,,,POINT(-122.401919132955 37.7918917716385)
4632000729,Credo,restaurant,,,,,,,,POINT(-122.402015971343 37.7920914623661)
4632000802,Diller's Delicatessan,restaurant,,,,,,,,POINT(-122.401861371282 37.7921217744201)
2457582442,One Leidesdorff,community_centre,Pine Street,,,,,,,POINT(-122.401642362016 37.7921455555311)
1206893696,US Bank,bank,,,,,,,,POINT(-122.402580203173 37.7926991918286)
1223019564,,post_box,,,,,,,,POINT(-122.402699140116 37.7929494235676)
4129601492,The Treasury,bar,Bush Street,,,,,Mo-Sa 15:00-00:00,,POINT(-122.40108953879 37.7912711154979)
4129600387,Blue Bottle,cafe,Sansome Street,,,,,Mo-Fr 07:00-19:00; Sa-Su 08:00-15:30,,POINT(-122.400943293062 37.7912932641312)
3962713911,Walgreens,pharmacy,Sansome Street,,,,,,,POINT(-122.400641908284 37.7913183943031)
1617283388,Chipotle Mexican Grill,restaurant,,,,,,,,POINT(-122.399402502687 37.7903658554237)
1617283373,u sushi,restaurant,,,,,,,,POINT(-122.399465384756 37.7905448922122)
386585670,Ameritrade,brokerage,,,,,,,,POINT(-122.399131121639 37.7907654575562)
4632112451,,parking,,,,,,,,POINT(-122.399788329101 37.7911395723569)
4632112444,Chez Julien,restaurant,,,,,,,,POINT(-122.399914722062 37.7914135197353)
1617283907,Noah's Bagels,fast_food,,,,,,,,POINT(-122.399780423927 37.7914529186658)
4632112446,Happy Donuts,fast_food,,,,,,,,POINT(-122.399804678439 37.791585313116)
1617283411,Peet's Coffee & Tea,cafe,,,,,,,,POINT(-122.399465564419 37.7914681813089)
1617283400,Jamba Juice,fast_food,,,,,,,,POINT(-122.399369714179 37.7914770549371)
4632112445,First Republic,atm,,,,,,,,POINT(-122.399501137705 37.7915846032269)
386582869,,post_box,,,5,,,,,POINT(-122.398968077415 37.7909824727671)
386585503,,bicycle_parking,,,8,,,,,POINT(-122.399311413517 37.7912809829988)
1617283399,Specialty's,cafe,,,,,,,,POINT(-122.399271168992 37.7914869224105)
2616685474,Mechanics Plaza (Market at Battery),bicycle_rental,,,19,,,,,POINT(-122.398964124828 37.791319175184)
669137652,,post_box,,,,,,,,POINT(-122.401014978622 37.79214647838)
4632081525,Mint Greens,restaurant,,,,,,,,POINT(-122.400705868332 37.7916005047429)
4632081523,King's and Co.,arts_centre,,,,,,,,POINT(-122.400718893904 37.7917099695505)
669137653,,post_box,,,,,,,,POINT(-122.400093576635 37.79214910495)
4616136993,Chase,bank,,,,,,,,POINT(-122.401280969777 37.7928790038277)
4632000728,Chez Fayala,restaurant,,,,,,,,POINT(-122.40015852483 37.7923274985238)
4632112452,,parking,,,,,,,,POINT(-122.399542909365 37.7917569641198)
4632112450,Tokyo Express,restaurant,,,,,,,,POINT(-122.399875375852 37.7920510699376)
4632112448,Lightning Foods,restaurant,,,,,,,,POINT(-122.39991229661 37.7921411542514)
386585808,University of Phoenix,university,,,,,,,,POINT(-122.399146123504 37.7916314558982)
386585894,,atm,,,1,,,,,POINT(-122.398796409364 37.7915997238649)
4632000741,Unicorn Pan,restaurant,,,,,,,,POINT(-122.399033923925 37.7922343619405)
4632000811,Subway,fast_food,,,,,,,,POINT(-122.399955685238 37.7923498598049)
669137656,,post_box,,,,,,,,POINT(-122.39983998223 37.7923067699651)
585508458,Serenity Dental Spa,dentist,California Street,,,,,,,POINT(-122.400020184276 37.7925526727659)
3931497661,CitiDent,dentist,,,,,,,,POINT(-122.399682597392 37.7925627530596)
3931497662,First National Bank of Northern California,bank,,,,,,,,POINT(-122.399713768932 37.7926808059738)
4618253238,,parking,,,,,,,,POINT(-122.399737394624 37.7928335007142)
4618253236,Illy,cafe,,,,,,,,POINT(-122.399744131989 37.7929416149304)
4632000733,Jimmy John's,restaurant,,,,,,,,POINT(-122.398906093661 37.7925095830444)
1262683044,Escape From New York Pizza,restaurant,Harrison Street,,,,,,,POINT(-122.397630845283 37.7821750619302)
3455075355,Cafe du Soleil,cafe,3rd Street,,,,,,,POINT(-122.397996190109 37.7832209964451)
2072415365,Pazzia,restaurant,3rd Street,,,,,,,POINT(-122.398135698473 37.7833279887761)
3455075354,,atm,,,,,,,,POINT(-122.397945165801 37.7831774753)
1648128588,,parking,,,,,,,,POINT(-122.397706573262 37.7832604707405)
2049317267,Osha Thai,restaurant,3rd Street,,,,,,,POINT(-122.398521884214 37.783638599344)
1620979180,What's Up Dog!,restaurant,,,,,,,,POINT(-122.398519638425 37.7839152013931)
2789555933,,marketplace,Folsom Street,,,,,,,POINT(-122.398435196789 37.783954462329)
532361835,Mexico Au Parc,restaurant,South Park,,,,,,,POINT(-122.393516920608 37.7821940183825)
1028546141,,post_box,,,,,,,,POINT(-122.393560129573 37.7829052013227)
2923715576,Fedex,post_office,,,,,,,,POINT(-122.395264323499 37.7846571798571)
2024135906,,post_box,,,,,,,,POINT(-122.395099033486 37.784135289553)
3198921690,,parking_entrance,,,,,,,,POINT(-122.394961501416 37.7846480214275)
2624312279,,post_box,,,,,,,,POINT(-122.397870605633 37.7847836228655)
3345049948,Hawthorne & Folsom (on-street),car_sharing,,,,,,,,POINT(-122.397801165861 37.7848084712695)
1409407375,2nd & Folsom,car_sharing,,,,,,,,POINT(-122.396109907676 37.785099977923)
2671868151,2nd at Folsom,bicycle_rental,,,19,,,,,POINT(-122.39623594131 37.7852989770556)
1281158248,Lee's Deli,restaurant,,,,,,,,POINT(-122.395962494138 37.7853780653954)
775379090,Starbucks,cafe,,,,,,,,POINT(-122.396749957316 37.7857738607976)
1028546217,,post_box,,,,,,,,POINT(-122.396470760925 37.7854768902038)
1532496946,Wells Fargo,bank,,,,,,,,POINT(-122.396388924403 37.7855647107021)
3948848040,Creperie Saint Germain,restaurant,,,,,,Mo-Fr 08:00-15:00; Sa 08:00-15:00,,POINT(-122.398040387221 37.7867740955514)
1282882085,Chatz Coffee,cafe,,,,,,,,POINT(-122.397747716102 37.7865513884809)
3642090338,SOMA Eats,restaurant,2nd Street,,,,,,,POINT(-122.398547665862 37.7868526853583)
1282408786,Ristorante Umbria,restaurant,2nd Street,,,,,Mo-Fr 11:30-22:00; Sa 17:00-22:00,,POINT(-122.398504277234 37.7867951806297)
2523885370,Howard at 2nd,bicycle_rental,,,19,,,,,POINT(-122.398139920555 37.7869709603755)
3642090339,Ovo,cafe,2nd Street,,,,,,,POINT(-122.398649983973 37.7872667890765)
1613924531,Kate O'Briens,pub,Howard Street,,,,,Mo-Sa 11:00-02:00; Su 10:00-02:00,,POINT(-122.397591229579 37.7871243768475)
2640702476,Southside Spirit House,pub,Howard Street,,,,,,,POINT(-122.397508045584 37.7871563237822)
1028546182,,fountain,,,,,,,,POINT(-122.395725159239 37.7850289117455)
3894030734,Red Dog,restaurant,303 Second Street,,,,,Monday – Friday 11:30am – 10pm Saturday 10am – 10pm Sunday 10am – 9pm,,POINT(-122.395483961586 37.7847893025014)
3894036010,Fearless Coffee,cafe,2nd Street,,,,,Mo-Fr 07:00-18:00; Sa 08:00-14:00; Su 09:00-14:00,,POINT(-122.395514863631 37.7851496745101)
3315887615,dragoneats,restaurant,Folsom Street,,,,,,,POINT(-122.395406077651 37.7864082649343)
2869484061,Local Kitchen & Wine Merchant,restaurant,1st Street,,,,,"Mo-Fr 11:00-14:30,16:00-22:00;Sa-Su 10:00-14:30,17:30-22:00",,POINT(-122.394193801175 37.7868886080426)
847692815,American Grilled Cheese Kitchen,restaurant,,,,,,,,POINT(-122.392878577767 37.78222319853)
2671868155,2nd at South Park,bicycle_rental,,,15,,,,,POINT(-122.392737901594 37.7822589814688)
4862634093,Blue Bottle Coffee,cafe,,,,,,,,POINT(-122.393117619464 37.7824864583175)
344975908,21st Amendment Brewery,pub,2nd Street,,,,,,,POINT(-122.392576833663 37.7824479775764)
1607246339,Lord George,bar,2nd Street,,,,,,,POINT(-122.392661185468 37.7825015098196)
317124802,Brannan Street Cafe,cafe,Brannan Street,,,,,,,POINT(-122.39168094383 37.7823739979405)
1854826998,Crossroads Café,cafe,Delancey St,,,,,,,POINT(-122.389140508207 37.7832602577498)
1392953884,Town's End Restaurant & Bakery,restaurant,Townsend Street,,,,,,,POINT(-122.388644278844 37.782446202634)
3860557695,,toilets,,,,,,,,POINT(-122.387828788229 37.7820658669903)
1600397422,Bike racks in front of Pier 38,bicycle_parking,,,5,,,,,POINT(-122.387949431972 37.7821933794011)
1600397439,Bike racks in front of Pier 38,bicycle_parking,,,2,,,,,POINT(-122.387960121924 37.7826640232488)
1392953877,House of Hunan Restaurant,restaurant,Townsend Street,,,,,,,POINT(-122.388968840156 37.7827115915506)
1612642891,Delancey Street Restaurant,restaurant,The Embarcadero,,,,,,,POINT(-122.388440630769 37.7845090829422)
2336695925,,gym,,,,,,,,POINT(-122.39052544088 37.7850176945004)
2024133773,,post_box,,,,,,,,POINT(-122.39289402879 37.7862649991226)
2336695926,,gym,,,,,,,,POINT(-122.389101161997 37.785580968487)
2671868134,Embarcadero at Bryant,bicycle_rental,,,15,,,,,POINT(-122.38809154545 37.7873280560676)
3642090340,Natoma Cabana,bar,Natoma Street,,,,,,,POINT(-122.39849583307 37.7875413187553)
4632029103,Salt House,restaurant,,,,,,,,POINT(-122.398497629701 37.788843812232)
2869372593,Special Xtra,cafe,Minna Street,,,,,Mon-Fri 07:30-16:00,,POINT(-122.398151957979 37.7885327975898)
1613924529,Harlot,nightclub,Minna Street,,,,,We-Sa 21:00-02:00,,POINT(-122.398144861289 37.7885477768687)
2049272243,,post_box,,,,,,,,POINT(-122.397219506715 37.7877381815357)
1409407383,Howard & 1st,car_sharing,,,,,,,,POINT(-122.396631918687 37.7881289948413)
4632030147,,parking,,,,,,,,POINT(-122.398073535055 37.789200898874)
4632029101,Proper Foods,restaurant,,,,,,,,POINT(-122.39802915828 37.7892358975315)
3085522026,Sausalito Cafe,cafe,1st Street,,,,,,,POINT(-122.397815179579 37.7894158599409)
415566196,,bicycle_parking,,,2,,,,,POINT(-122.397814191433 37.7894901164917)
415566362,,atm,,,2,,,,,POINT(-122.397698039266 37.7894931691017)
415565991,,post_box,,,4,,,,,POINT(-122.397722832768 37.7895257539304)
415565977,,post_box,,,4,,,,,POINT(-122.397749512732 37.7895405910262)
4247445402,Portico Restaurant,cafe,1st Street,,,,,,,POINT(-122.397853717305 37.7897725888652)
3085515638,Starbucks,cafe,1st Street,,,,,,,POINT(-122.397597877112 37.7895579127995)
4675302881,,post_box,,,,,,,,POINT(-122.397618987521 37.7896125757458)
4247445403,El Faro,cafe,1st Street,,,,,,,POINT(-122.397984601842 37.7899027146292)
4632030148,,atm,,,,,,,,POINT(-122.397659142215 37.7900253861707)
1713861776,83 Proof,bar,1st Street,,,,,,,POINT(-122.397790475909 37.7901261924933)
1849149965,Walgreens,pharmacy,Mission Street,,,,,,,POINT(-122.397549727413 37.789994505333)
4632030144,Truck Stop,fast_food,,,,,,,,POINT(-122.39732505876 37.7901812099705)
3365191935,Oasis Grill,restaurant,1st Street,,,,,,,POINT(-122.397265410626 37.7892978018101)
1409407381,Fremont & Mission (Millennium Tower),car_sharing,,,,,,,,POINT(-122.396012889625 37.7900860119615)
560515139,Peets Coffee & Tea,cafe,,,,,,,,POINT(-122.395669284029 37.7884141701125)
1493478107,Spice Kit,restaurant,Howard Street,,,,,,,POINT(-122.395576577891 37.7884851620428)
2671868147,Temporary Transbay Terminal (Howard at Beale),bicycle_rental,,,23,,,,,POINT(-122.394561661283 37.7898041087112)
2351681811,,drinking_water,,,,Temporary Transbay Terminal,,,,POINT(-122.393233861462 37.7898939827929)
4248919854,Tender Greens,restaurant,Fremont Street,,,,,Mo-Fr 11:00-20:00,,POINT(-122.397463219651 37.7908282834188)
670245582,,post_box,,,5,,,,,POINT(-122.398194807619 37.7915305096512)
670245583,,post_box,,,2,,,,,POINT(-122.396885872418 37.7904727664209)
4518564989,RN74,restaurant,,,,,,,,POINT(-122.396376886978 37.7905358055022)
386585954,Bank of the West,bank,,,,,,,,POINT(-122.398622226031 37.7917703809929)
4343741280,Starbucks,cafe,,,,,,,,POINT(-122.398321380242 37.7920130910962)
386589588,,bicycle_parking,,,4,,,,,POINT(-122.397840242576 37.7919298215308)
386588495,,atm,,,3,,,,,POINT(-122.397508943899 37.7920405636432)
669137660,,post_box,,,5,,,,,POINT(-122.398642887282 37.7923522024149)
4343738972,Plant,restaurant,,,,,,,,POINT(-122.398348239869 37.7925631789875)
2616676496,Beale at Market,bicycle_rental,,,19,,,,,POINT(-122.397062660866 37.7922440163479)
386596676,Citi Bank,bank,,,,,,,,POINT(-122.396518371635 37.7928386828174)
4434987389,RN74,restaurant,Mission Street,,,,,,,POINT(-122.395917937699 37.7908398547301)
4638626889,Tokyo Express,restaurant,Spear Street,,,,,,,POINT(-122.393648883123 37.7915119815276)
1147880118,,post_box,,,,,,,,POINT(-122.393213469705 37.7917593067486)
2670905251,Specialty's Cafe and Bakery,cafe,,,,,,,,POINT(-122.393358727286 37.7917884831194)
415564789,Walgreens,pharmacy,Spear Street,,,,,,,POINT(-122.394355318263 37.7925354936708)
2035218073,Wells Fargo,bank,Mission Street,,,,,,,POINT(-122.39408187109 37.7922918624364)
415565233,,atm,,,2,,,,,POINT(-122.394046297805 37.7923184830212)
2050164911,Findlay Dental Arts,dentist,Spear Street,,,,,,,POINT(-122.394364481079 37.7929277723442)
2035229776,Super Duper Burger,restaurant,Mission Street,,,,,,,POINT(-122.394161461824 37.7927955932627)
415564786,,bicycle_parking,,,2,,,,,POINT(-122.393943261042 37.7927865068295)
2035229775,Mixt Greens,restaurant,Mission Street,,,,,,,POINT(-122.39396311381 37.7929355099953)
3201049453,Amakwele's South African Cuisine,restaurant,,,,,,,,POINT(-122.393470118382 37.7925354226827)
3201049454,Arabi,restaurant,,,,,,,,POINT(-122.393366812124 37.792459110538)
1147880107,,post_box,,,,,,,,POINT(-122.390517625537 37.7881960824761)
1256982438,,carpool,,,,,,,,POINT(-122.393055815373 37.7888727057879)
1094164241,,taxi,,,,,,,,POINT(-122.392316681557 37.7892366784344)
2072412986,San Francisco Surgical Arts,doctors,Main Street,,,,,,,POINT(-122.391525714949 37.7894209003019)
2049316474,Prospect,restaurant,Spear Street,,,,,,,POINT(-122.390959416994 37.7898305172205)
2807910419,,post_box,,,,,,,,POINT(-122.388640146594 37.7880768155277)
3201045669,,parking_entrance,,,,,,,,POINT(-122.390129912661 37.7895758734863)
2671868146,Spear at Folsom,bicycle_rental,,,19,,,,,POINT(-122.390263941301 37.789624999137)
2049316476,Palomino,restaurant,,,,,,,,POINT(-122.389784600266 37.7900021013104)
368168742,San Francisco Fire Station 35,fire_station,The Embarcadero,,,,,,,POINT(-122.388458597075 37.7901996674376)
1667800975,,atm,,,,,,,,POINT(-122.392720204783 37.7904188140114)
1147880100,,post_box,,,,,,,,POINT(-122.391993557549 37.790729678736)
2055529990,The UPS Store,post_office,,,,,,,,POINT(-122.393167565794 37.7910653174636)
1147880123,,post_box,,,,,,,,POINT(-122.392564796238 37.7911419859946)
2055534986,Lee's Deli,restaurant,Spear Street,,,,,,,POINT(-122.393082495337 37.7915806988362)
2670905250,Heyday,restaurant,,,,,,,,POINT(-122.392980536552 37.7914980676846)
3174203338,Chase,bank,Spear Street,,,,,,,POINT(-122.3927741037 37.7913198850757)
2618097136,Starbucks,cafe,Spear Street,,,,,,,POINT(-122.392283264228 37.7913112953853)
3779128032,,bicycle_parking,,,10,,,,,POINT(-122.391882076622 37.7913599939475)
2671868135,Embarcadero at Folsom,bicycle_rental,,,19,,,,,POINT(-122.390977473131 37.791515388999)
2038804803,Eatsa,restaurant,Spear Street,,,,,,,POINT(-122.392910018802 37.7918653638659)
358855383,Rincon Finance Center,post_office,,,,,,,,POINT(-122.39199831862 37.7919866123784)
865959263,,restaurant,,,,,,,,POINT(-122.39318436429 37.7925397529509)
3201049452,Yank Sing,restaurant,Spear Street,,,,,,,POINT(-122.393038208393 37.7925915031854)
2840135401,Perry's,restaurant,Steuart Street,,,,,,,POINT(-122.392331593591 37.7927476055248)
3772742848,Ozumo,restaurant,Steuart Street,,,,,,,POINT(-122.392261884325 37.7926712226114)
2840131401,,fountain,,,,,,,,POINT(-122.391505862181 37.792511002805)
2624019154,Waterbar,restaurant,,,,,,,,POINT(-122.389188208748 37.7905588062347)
1990302438,Epic Roasthouse,restaurant,The Embarcadero,,,,,,,POINT(-122.389353588592 37.7907487039838)
1206893703,Rent-A-Wreck,car_rental,,,,,,,,POINT(-122.387288810912 37.7522935099436)
2453601267,The Ramp,restaurant,,,,,,,,POINT(-122.386768506699 37.7642182077295)
1142670556,San Francisco Pier 48,ferry_terminal,,,,,,,,POINT(-122.386230865002 37.7750864989364)
590986805,AT&T Park,ferry_terminal,,,,,,,,POINT(-122.387558934318 37.778163355453)
317124780,,bicycle_parking,,,,,,,,POINT(-122.387655862537 37.7786039203787)
1386823541,Red's Java House,restaurant,,,,,,,,POINT(-122.387436314281 37.7871952990238)
2422144977,Hi Dive,pub,Embarcadero,,,,,,,POINT(-122.387469372284 37.78761870087)
281555091,,bicycle_parking,,,,,,,,POINT(-122.483046704916 37.7932120062599)
281555098,,bicycle_parking,,,,,,,,POINT(-122.482230226154 37.7953459973025)
4207308646,,bench,,,,,,,,POINT(-122.476980112308 37.7982287962399)
1564470253,General Store (Cafe),cafe,,,,,,,,POINT(-122.468662700924 37.7938078717138)
416690730,,toilets,,,,,,,,POINT(-122.464647501098 37.7969748791267)
1233426654,,bench,,,,,,,,POINT(-122.46473221223 37.7972461074968)
1564457606,,parking,,,,,,,,POINT(-122.468449620538 37.8039205953931)
4420919949,,toilets,,,,NPS composting latrine; has keycode on handle but was open on a sunday evening.,,,,POINT(-122.4560553849 37.7939643974031)
4625896639,,bicycle_repair_station,,,,,,24/7,,POINT(-122.454785526415 37.7999902778123)
630747009,,post_box,,,,,,,,POINT(-122.45702987732 37.8016429772428)
665439637,,post_office,,,,,,,,POINT(-122.456801974733 37.8018828157513)
630747207,,post_box,,,,,,,,POINT(-122.456633181291 37.8016150823909)
630746756,First Republic Bank,bank,,,,,,,,POINT(-122.456909323409 37.8019166727375)
4220114096,,bench,,,,,,,,POINT(-122.457413996936 37.803923789361)
630732383,Presidio Transit Center,bus_station,,,,,,,,POINT(-122.456271519558 37.8018339111882)
630746097,Transit Cafe,restaurant,,,,,,,,POINT(-122.456200911976 37.8018669874274)
3331466048,,toilets,,,,,,,,POINT(-122.474776365253 37.8073088917606)
4149743875,,telephone,,,,,,,,POINT(-122.475329907131 37.8076492813611)
2351681834,,drinking_water,,,,Golden Gate Visitor Center,,,,POINT(-122.475199920909 37.8076250084266)
2639042831,,bicycle_parking,,,6,,,,,POINT(-122.470707985163 37.8081668891457)
2351681836,,drinking_water,,,,Warming Hut,,,,POINT(-122.470739336366 37.8082485080319)
1564415431,,parking,,,,,,,,POINT(-122.469345510371 37.8061711728481)
1564428662,,bbq,,,,,,,,POINT(-122.469092904113 37.806720303622)
831556576,,bench,,,,,,,,POINT(-122.448470100473 37.7980423958693)
2340047391,Consulate General of the Russian Federation,embassy,Green Street,,,,,,,POINT(-122.444981223572 37.7950604938563)
